type,orderID,address,city_province_zip,effective_date,municipality_district,structure_type,year_built,gla,num_beds,num_baths,condition,sale_price,sale_date,distance_to_subject,distance_km,typeis_missing,orderIDis_missing,addressis_missing,city_province_zipis_missing,effective_dateis_missing,municipality_districtis_missing,structure_typeis_missing,num_bathsis_missing,conditionis_missing,sale_dateis_missing,distance_to_subjectis_missing,year_builtis_missing,glais_missing,sale_priceis_missing,distance_kmis_missing
subject,4762597,142-950 Oakview Ave Kingston ON K7M 6W8,"""Twin Oak Meadows""",8,56,127,1976.0,1044.0,3.0,1:1,1,590000.0,0,0,0.9,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
comp,4762597,930 Amberdale Cres,Kingston ON K7M 6V1,0,0,127,49.0,1044.0,3.0,2:0,7,378900.0,19,16,0.15,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
comp,4762597,771 Ashwood Dr,Kingston ON K7M 6X7,0,0,127,49.0,1044.0,3.0,1:0,5,327000.0,69,5,0.02,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
comp,4762597,995 Amberdale Cres,Kingston ON K7M 6X6,0,0,127,49.0,1044.0,3.0,2:0,5,315000.0,77,11,0.09,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
property,4762597,463 Conservatory Dr,"Kingston, Ontario, K7M 9C8",0,0,34,2004.0,1500.0,3.0,3:0,0,674000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,463 Conservatory Drive,"Kingston, Ontario, K7M 9C8",0,0,40,2004.0,1750.0,3.0,0:0,0,674000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,311 Janette St,"Kingston, Ontario, K7P 0K8",0,0,65,2004.0,1500.0,3.0,4:0,0,585000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,311 Janette Street,"Kingston, Ontario, K7P 0K8",0,0,67,2004.0,1300.0,3.0,0:0,0,585000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,4056 Bath Rd,"Kingston, Ontario, K7M 4Y4",0,0,97,2004.0,1300.0,4.0,4:0,0,685000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True
property,4762597,786 HIGH GATE PARK Dr,"Kingston, Ontario, K7M 5Z8",0,0,34,2004.0,1300.0,3.0,2:0,0,495000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,786 HIGH GATE PARK Drive,"Kingston, Ontario, K7M 5Z8",0,0,53,2004.0,1300.0,3.0,0:0,0,495000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,784 Downing St,"Kingston, Ontario, K7M 5N2",0,0,34,2004.0,1250.0,5.0,2:0,0,567500.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,784 Downing Street,"Kingston, Ontario, K7M 5N2",0,0,54,2004.0,1300.0,4.0,0:0,0,567500.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,593 Roosevelt Dr,"Kingston, Ontario, K7M 8T7",0,0,34,2004.0,1880.0,4.0,3:0,0,681000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,593 Roosevelt Drive,"Kingston, Ontario, K7M 8T7",0,0,47,2004.0,1817.0,4.0,0:0,0,681000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,657 Gwen Ave,"Kingston, Ontario, K7P 0M2",0,0,34,2004.0,2000.0,4.0,3:1,0,807000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,657 Gwen Avenue,"Kingston, Ontario, K7P 0M2",0,0,40,2004.0,2250.0,4.0,0:0,0,807000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,1341 TREMONT Dr,"Kingston, Ontario, K7P 0M5",0,0,65,2004.0,1550.0,3.0,3:0,0,572999.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,Unit 402 - 649 DAVIS Dr,"Kingston, Ontario, L9P 1R2",0,0,3,2004.0,1100.0,2.0,1:0,0,330000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,1341 TREMONT Drive,"Kingston, Ontario, K7P 0M5",0,0,67,2004.0,1564.0,3.0,0:0,0,572999.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,Unit 402 - 649 DAVIS Drive,"Kingston, Ontario, K7M 8L4",0,0,11,2004.0,1100.0,2.0,0:0,0,330000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,1028 Bauder Cres,"Kingston, Ontario, K7P 1M6",0,0,34,40.0,900.0,2.0,2:0,0,542000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True
property,4762597,1040 Earnhart St,"Kingston, Ontario, K7P 3B9",0,0,34,2004.0,1750.0,3.0,4:0,0,740000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,1028 Bauder Crescent,"Kingston, Ontario, K7P 1M6",0,0,49,2004.0,900.0,3.0,0:0,0,542000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,1040 Earnhart Street,"Kingston, Ontario, K7P 3B9",0,0,40,2004.0,1750.0,3.0,0:0,0,740000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,994 WESTMINSTER Place,"Kingston, Ontario, K7P 1R1",0,0,40,2004.0,1604.0,3.0,0:0,0,595000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
property,4762597,2138 Balantrae Circ,"Kingston, Ontario, K7M 9H8",0,0,34,2004.0,1850.0,3.0,4:0,0,745000.0,0,0,0.9,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True
